title,href,description,starting_price,image_link
Leonardo Digital Campus,https://www.coworkbooking.com/europe/italy/rome/leonardo-digital-campus,"COWORKING - DESK PRIVATO – POSTAZIONI DI LAVORO 
Nella città pedonale di Parco Leonardo nasce il Leonardo Digital Campus, un Coworking aperto ad ... more >",719 CHF /,N/A
FAMO COSE,https://www.coworkbooking.com/europe/italy/rome/famo-cose,"Rome's first fully equipped membership-driven makerspace. Co-working creative space with access to digital fabrication tools, darkroom, and ... more >",914 CHF /,N/A
Punto Coworking Trastevere,https://www.coworkbooking.com/europe/italy/rome/punto-coworking-trastevere,"""Work, share, create, in the heart of Rome: Trastevere.\n\nIn a dynamic ambient, with open space and private offices, you can exchange ideas and ... more >",N/A,N/A
Pi.Co.Wo. Coworking,https://www.coworkbooking.com/europe/italy/rome/picowo-coworking,"""Pi.Co.Wo.  is the perfect solution for those who want to make the workspace sharing a precious resource to their own professional ... more >",N/A,N/A
COASTER Coworking,https://www.coworkbooking.com/europe/italy/rome/coaster-coworking,"""COASTER is a coworking, coffee cafe and business center in the red Roman River. Stop working alone with having those headphones in all the time, come ... more >",N/A,N/A
Talent Garden Rome Poste Italian,https://www.coworkbooking.com/europe/italy/rome/talent-garden-rome-poste-italian,"""With 24/7 access for digital, tech and creative professionals, Talent Garden Roma Poste Italian is a smart working space with professional services ... more >",N/A,N/A
Cowo 360,https://www.coworkbooking.com/europe/italy/rome/cowo-360,"""Coworking spaces with comfortable seats and a good level of privacy is what you’ll get in Cowo 360. Be it freelancers or small business, if you’re ... more >",N/A,N/A
Talent Garden Rome Cinecitta,https://www.coworkbooking.com/europe/italy/rome/talent-garden-rome-cinecitta,"""The second campus in Rome for Talent Garden that is the largest European coworking network, Cinecitta offers spaces with innovative design plus an ... more >",N/A,N/A
CORTE,https://www.coworkbooking.com/europe/italy/rome/corte,"""Skilful in various backgrounds of the professional line of work, choosing to cowork at CORTE is a great way to broaden your skills and knowledge ... more >",N/A,N/A
GoWork,https://www.coworkbooking.com/europe/italy/rome/gowork,more >,N/A,N/A
L'Alveare,https://www.coworkbooking.com/europe/italy/rome/lalveare,"""Parents who work and have independently professional careers don’t always come across effective coworking spaces that offer a balance between ... more >",N/A,N/A
maddalena's studio,https://www.coworkbooking.com/europe/italy/rome/maddalenas-studio,"""I'm searching for an artist wich want to share my studio with me.\nThe studio is amazing, in Testaccio Area, located in a huge building together with ... more >",N/A,N/A
Monte Testaccio 34,https://www.coworkbooking.com/europe/italy/rome/monte-testaccio-34,"""LATTE CREATIVE COWORKING is the first coworking in Rome dedicated to professionals working in the social and creative field. The 250mq studio is ... more >",N/A,N/A
SUPREAM WORK STATION,https://www.coworkbooking.com/europe/italy/rome/supream-work-station,"""Co Working office Desk with internet and office equipment and you can receive your clients personally. Use the address and rent even for one hour and ... more >",N/A,N/A
Arco,https://www.coworkbooking.com/europe/italy/rome/arco,"""A stunning place that will have the fussy design gurus swooning in delight, Arcò is a coworking space in the throbbing heart of Rome, only a stone's ... more >",N/A,N/A
Trastup,https://www.coworkbooking.com/europe/italy/rome/trastup,"""A small coworking venue, Trastup only has 4 workstations to rent out individually either as hot desk scenarios on a daily basis or a fixed desk setup ... more >",N/A,N/A
Ala/34,https://www.coworkbooking.com/europe/italy/rome/ala-34,"""ALA/34 is a Coworking and Business Accelerator for emerging startups and innovative PMI, based in Rome, in a green area known as Valle dei Casali. A ... more >",N/A,N/A
Anticafè Roma,https://www.coworkbooking.com/europe/italy/rome/anticafe-roma,"""Ever sat at a cafe where you feel the beady eyes of the barristas burning into the back of your head as you struggle to make your espresso last long ... more >",N/A,N/A
Co.Ro. Coworking Rome Pigneto,https://www.coworkbooking.com/europe/italy/rome/coro-coworking-rome-pigneto,"""Co.Ro. is a coworking in Rome, near Metro C \""Malatesta\"". Co.Ro. means \""choir\"", and here all can express their voices!\n\nIn this space, you can ... more >",N/A,N/A
CriptoLab,https://www.coworkbooking.com/europe/italy/rome/criptolab,"""CriptoLab is a coworking space where you can work smartly to your projects. You can rent your seat to work in a dynamic environment, meet new people ... more >",N/A,N/A
FACTORY 0.1,https://www.coworkbooking.com/europe/italy/rome/factory-01,"""Factory 0.1 is a coworking site in Rome, in the Tor di Quinto area. On a surface of about 600 square meters there are 14 Office Suites and a ... more >",N/A,N/A
Incanto srl,https://www.coworkbooking.com/europe/italy/rome/incanto-srl,"""Slightly hidden in the beautiful district Trastevere, you will find our coworking space INCANTO.\n\nOur space provides wide desks, ergonomics chairs, ... more >",N/A,N/A
Lab 606 Workspace,https://www.coworkbooking.com/europe/italy/rome/lab-606-workspace,"""Lab 606 can satisfy the needs of every user. The client can choose between posts with or without the pc access and can have access to all the work ... more >",N/A,N/A
O21 Coworking,https://www.coworkbooking.com/europe/italy/rome/o21-coworking,"""O21 Co-working is more than just an office with hot desks. This flexible working environment, located in the Historic Center of Rome, provides an ... more >",N/A,N/A
Office 21,https://www.coworkbooking.com/europe/italy/rome/office-21,"""O.21 Co-working is more than just an office with hot desks. This flexible working environment, located in the Historic Center of Rome, provides an ... more >",N/A,N/A
Opengra,https://www.coworkbooking.com/europe/italy/rome/opengra,"""The Opengra space is divided into different areas dedicated to coworking, lounge area, meeting area and exhibition hall, coffee station, table for ... more >",N/A,N/A
POSTAZIONI CO-WORKING – UFFICIO CONDIVISO PARIOLI,https://www.coworkbooking.com/europe/italy/rome/postazioni-co-working-ufficio-condiviso-parioli,"""In the context of a stately and silent building located near the main metro / bus stops, equipped workstations are offered according to the main ... more >",N/A,N/A
Startup Studio,https://www.coworkbooking.com/europe/italy/rome/startup-studio,"""Startup Studio was born at the end of 2017 thanks to the entrepreneurial heritage of Claudio Rossi, Business Angel and Co-Founder of Neomobile, one ... more >",N/A,N/A
Urban Places,https://www.coworkbooking.com/europe/italy/rome/urban-places,"""Enter a stimulating space in contact with a community of professionals and take advantage of the services designed to grow your business. \n1000 MQ ... more >",N/A,N/A
Vineyarts Co-working,https://www.coworkbooking.com/europe/italy/rome/vineyarts-co-working,"""Our co-working space is housed in one of the most beautiful buildings in Rome located a stone-throw away from Campo di Fiori & Piazza Navona. We are ... more >",N/A,N/A
WorkLabROma,https://www.coworkbooking.com/europe/italy/rome/worklabroma,"""We work with you, for you, together with you! \n\nWith us you can work a day, a week or a month and you will always find the offers tailored to your ... more >",N/A,N/A
Bside Coworking at Pick Center,https://www.coworkbooking.com/europe/italy/rome/bside,"Discover our new workspaces in via Boezio in the heart of Rome. A comfortable, elegant, modern area and served by a new reception on the street for ... more >",N/A,N/A
