title,city,image_url,href
Azienda agricola bio,Terni,"https://wwoof.imgix.net/photos/hosts/b7cd3ecc31033703b9192ba0ed4a3032.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15014-azienda-agricola-bio
Meditation & spiritual ecology in Sardegna,Sassari,"https://wwoof.imgix.net/photos/hosts/d0330914fb75fdbcc64760c421d01a81.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15301-meditation-and-spiritual-ecology-in-sardegna
Destinazione Agrituristica,Venezia,"https://wwoof.imgix.net/photos/hosts/12a36a224a0b816a705e6b27fb9dccb7.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16003-destinazione-agrituristica
"Family home and garden - rural, Agritourism Destination, Livestock Farm",Bolzano,"https://wwoof.imgix.net/photos/hosts/f2105964991d1060fd6f1d384fa0e8ba.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15992-family-home-and-garden-rural-agritourism-destination-livestock-farm
"Azienda agricola, Agriturismo, Fattoria",Modena,"https://wwoof.imgix.net/photos/hosts/26cdbf25e5e3e26d6d43356005b85cd7.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/49198-azienda-agricola-agriturismo-fattoria
Family farm,Terni,"https://wwoof.imgix.net/photos/hosts/bd6acef54d3e23f704c9a209d51eb75c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16111-family-farm
Piccola fattoria,Biella,"https://wwoof.imgix.net/photos/hosts/59bd6334cac220dfc7e50abe2b360818.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14873-piccola-fattoria
Destinazione Agrituristica,Pisa,"https://wwoof.imgix.net/photos/hosts/486e00f77cef6ceffb2d804cd27c1a21.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15902-destinazione-agrituristica
Fattoria mista,Torino,"https://wwoof.imgix.net/photos/hosts/99e07d060c72ba12abc4a367971da728.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15328-fattoria-mista
Azienda Agricola Biodinamica,Bolzano,"https://wwoof.imgix.net/photos/hosts/299f3ff1a217ff6d8f6e08dc3c425f43.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15126-azienda-agricola-biodinamica
Fattoria di famiglia,Aosta,"https://wwoof.imgix.net/photos/hosts/84f2bbdf8a60aeaba9d60d0eaa2ecc22.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15187-fattoria-di-famiglia
,Ancona,"https://wwoof.imgix.net/images/IT/logo.png?bg=fff&pad-left=30&pad-right=30&pad-top=17&pad-bottom=17&fit=fill&ar=16:9&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14826
"Azienda agricola, Olivi",Pisa,"https://wwoof.imgix.net/photos/hosts/abf02d9e339a96f366e27af845209575.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14986-azienda-agricola-olivi
Azienda Agroforestale Biologica,Campobasso,"https://wwoof.imgix.net/photos/hosts/a8824757ef48a3ebc100c6c34eb60bd3.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15493-azienda-agroforestale-biologica
"Agritourism Destination, Homestead, Cattle Ranch, Mixed Farm, Farm",Firenze,"https://wwoof.imgix.net/photos/hosts/ecc41088eac02340764015ec0ec20c79.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14782-agritourism-destination-homestead-cattle-ranch-mixed-farm-farm
Fattoria di famiglia,Macerata,"https://wwoof.imgix.net/images/IT/logo.png?bg=fff&pad-left=30&pad-right=30&pad-top=17&pad-bottom=17&fit=fill&ar=16:9&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14839-fattoria-di-famiglia
,Massa-Carrara,"https://wwoof.imgix.net/photos/hosts/72eb7dc913c549f3c42b9a9ea580a45b.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15497
Azienda agricola situata nel polmone verde della costiera amalfitana,Salerno,"https://wwoof.imgix.net/photos/hosts/d1267ab9359115c937c00161623808c1.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/52542-azienda-agricola-situata-nel-polmone-verde-della-costiera-amalfitana
